path,area,evidence,currentReachability,packageStatus,recommendation,nextAction
.DS_Store,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
.playwright-cli,packaging,generated/local directory,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
.pytest_cache,packaging,generated/local directory,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
app.db,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/.DS_Store,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/.pytest_cache,packaging,generated/local directory,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app.db,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__,packaging,generated/local directory,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/__init__.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/__init__.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/__init__.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/db.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/db.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/db.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/local_request_guard.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/local_request_guard.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/local_request_guard.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/main.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/main.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/main.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/models.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/models.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/__pycache__/models.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__,packaging,generated/local directory,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/__init__.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/__init__.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/__init__.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/action_suggestion_service.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/action_suggestion_service.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/agent_worklogs.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/agent_worklogs.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
