bridgeKey,usageCount,classification
getDesktopAppInfo,1,used_ipc_bridge
resumeFromStartupGate,0,unused_ipc_bridge
selectFiles,1,used_ipc_bridge
selectFolder,1,used_ipc_bridge
selectCollabRepo,1,used_ipc_bridge
getCollabRepoStatus,1,used_ipc_bridge
previewPushToMain,1,used_ipc_bridge
commitAndPushToMain,1,used_ipc_bridge
previewPullFromMain,1,used_ipc_bridge
pullSelectedFromMain,1,used_ipc_bridge
rebuildAndInstallFromRepo,1,used_ipc_bridge
getDroppedFilePath,3,used_ipc_bridge
readTextFile,0,unused_ipc_bridge
openPath,1,used_ipc_bridge
openExternalUrl,1,used_ipc_bridge
revealInFinder,1,used_ipc_bridge
saveFileAs,1,used_ipc_bridge
quitApp,0,unused_ipc_bridge
watchFile,0,unused_ipc_bridge
unwatchFile,0,unused_ipc_bridge
onFileChanged,0,unused_ipc_bridge
